kpoint,band,spin,mag_order,energy,weight_tot,weight_s,weight_p,weight_d,weight_f
1.443834373,1,up,nonmagnetic,-53.24493808067871,0.996189,0.0,0.996001,3.4e-05,0.000154
1.4753801119999999,1,up,nonmagnetic,-53.250760909116195,0.996067,0.0,0.995886,3.8e-05,0.000143
1.506925852,1,up,nonmagnetic,-53.25683664017536,0.9959389999999999,0.0,0.995766,4.1e-05,0.000133
1.538471591,1,up,nonmagnetic,-53.26307338100559,0.995808,0.0,0.9956430000000001,4.2e-05,0.000123
1.57001733,1,up,nonmagnetic,-53.269377279536535,0.995675,0.0,0.995519,4.2e-05,0.00011399999999999999
1.601563069,1,up,nonmagnetic,-53.27565399389284,0.995542,0.0,0.995395,4.1e-05,0.000106
1.633108809,1,up,nonmagnetic,-53.281373854445626,0.9954,0.0,0.9952639999999999,4.1e-05,9.4e-05
1.6646545480000001,1,up,nonmagnetic,-53.28740373431935,0.995276,0.0,0.995149,3.8e-05,8.9e-05
1.696200287,1,up,nonmagnetic,-53.29312024787165,0.995157,0.0,0.9950389999999999,3.3e-05,8.499999999999999e-05
1.7277460269999998,1,up,nonmagnetic,-53.298442305172216,0.995044,0.0,0.994936,2.8000000000000003e-05,8.1e-05
1.759291766,1,up,nonmagnetic,-53.30329434020206,0.994941,0.0,0.99484,2.2e-05,7.8e-05
1.790837505,1,up,nonmagnetic,-53.30760745373177,0.9948469999999999,0.0,0.9947540000000001,1.7e-05,7.6e-05
1.822383244,1,up,nonmagnetic,-53.310569848482224,0.9947459999999999,0.0,0.994659,1.4000000000000001e-05,7.3e-05
1.8539289840000002,1,up,nonmagnetic,-53.31556730115896,0.9947290000000001,0.0,0.9946450000000001,1.1e-05,7.3e-05
1.8854747230000002,1,up,nonmagnetic,-53.318248194121026,0.9946790000000001,0.0,0.9946010000000001,6e-06,7.2e-05
1.917020462,1,up,nonmagnetic,-53.3201884747898,0.994643,0.0,0.994568,3e-06,7.2e-05
1.948566201,1,up,nonmagnetic,-53.32136286378765,0.9946209999999999,0.0,0.994549,1e-06,7.2e-05
1.9801119409999999,1,up,nonmagnetic,-53.32175604110425,0.9946139999999999,0.0,0.994542,0.0,7.2e-05
2.01165768,1,up,nonmagnetic,-53.32041424765961,0.9946280000000001,4e-06,0.994552,1e-06,7.099999999999999e-05
2.043203419,1,up,nonmagnetic,-53.31640688126322,0.9946709999999999,1.7e-05,0.9945809999999999,5e-06,6.8e-05
2.074749158,1,up,nonmagnetic,-53.309787793248006,0.994742,3.7e-05,0.9946299999999999,1.1e-05,6.4e-05
2.1062948980000002,1,up,nonmagnetic,-53.29958254388061,0.994808,6.4e-05,0.9946719999999999,1.8e-05,5.5e-05
2.137840637,1,up,nonmagnetic,-53.28816772119324,0.994936,9.499999999999999e-05,0.994765,2.7000000000000002e-05,4.8e-05
2.169386376,1,up,nonmagnetic,-53.27449927872708,0.995088,0.00013000000000000002,0.994878,3.8e-05,4.2e-05
2.200932115,1,up,nonmagnetic,-53.25876557369615,0.9952629999999999,0.000166,0.995014,4.9e-05,3.5e-05
