energy,mag_order,spin,dos
-19.428929618279998,nonmagnetic,up,0.0
-19.37450684624,nonmagnetic,up,0.0
-19.320084074199997,nonmagnetic,up,0.0
-19.265661302159998,nonmagnetic,up,0.0
-19.21123853012,nonmagnetic,up,0.0
-19.156815758079997,nonmagnetic,up,0.0
-19.102392986039998,nonmagnetic,up,0.0
-19.047970214,nonmagnetic,up,0.0
-18.993547441959997,nonmagnetic,up,0.0
-18.939124669919998,nonmagnetic,up,0.0
-18.88470189788,nonmagnetic,up,0.0
-18.830279125839997,nonmagnetic,up,0.0
-18.7758563538,nonmagnetic,up,0.0
-18.72143358176,nonmagnetic,up,0.0
-18.66701080972,nonmagnetic,up,0.0
-18.612588037680002,nonmagnetic,up,0.0
-18.55816526564,nonmagnetic,up,0.0
-18.5037424936,nonmagnetic,up,0.0
-18.449319721560002,nonmagnetic,up,0.0
-18.39489694952,nonmagnetic,up,0.0
-18.34047417748,nonmagnetic,up,0.0
-18.286051405440002,nonmagnetic,up,0.0
-18.2316286334,nonmagnetic,up,0.0
-18.17720586136,nonmagnetic,up,0.0
-18.12278308932,nonmagnetic,up,0.0
-18.06836031728,nonmagnetic,up,0.0
-18.01393754524,nonmagnetic,up,0.0
-17.9595147732,nonmagnetic,up,0.0
-17.90509200116,nonmagnetic,up,0.0
-17.85066922912,nonmagnetic,up,0.0
-17.79624645708,nonmagnetic,up,0.0
-17.74182368504,nonmagnetic,up,0.0
-17.687400913,nonmagnetic,up,0.0
-17.63297814096,nonmagnetic,up,0.0
-17.57855536892,nonmagnetic,up,0.0
-17.52413259688,nonmagnetic,up,0.0
-17.46970982484,nonmagnetic,up,0.0
-17.4152870528,nonmagnetic,up,0.0
-17.36086428076,nonmagnetic,up,0.0
-17.30644150872,nonmagnetic,up,0.0
-17.25201873668,nonmagnetic,up,0.0
-17.197595964639998,nonmagnetic,up,0.0
-17.1431731926,nonmagnetic,up,0.0
-17.08875042056,nonmagnetic,up,0.0
-17.034327648519998,nonmagnetic,up,0.0
-16.97990487648,nonmagnetic,up,0.0
